Cyclone_Frequency,Depth_m,ClimSST,Country_Name,Distance_to_Shore,Exposure,Turbidity,Bleaching_Level,Temperature_Maximum,SSTA,TSA,Percent_Bleaching,Percent_Cover
49.82,12.0,302.47,Malaysia,44.39,Exposed,0.0513,Population,305.52,0.21,0.21,0.0,40.62
49.82,12.0,302.47,Malaysia,44.39,Exposed,0.0513,Population,305.52,0.21,0.21,0.0,0.0
49.82,9.0,302.13,Malaysia,44.39,Exposed,0.0513,Population,305.54,1.3,-0.1,0.0,36.25
49.82,9.0,302.13,Malaysia,44.39,Exposed,0.0513,Population,305.54,1.3,-0.1,0.0,0.62
54.39,8.0,302.61,Malaysia,1683.59,Sheltered,0.0816,Population,306.08,-0.62,-1.63,0.0,27.5
54.39,8.0,302.61,Malaysia,1683.59,Sheltered,0.0816,Population,306.08,-0.62,-1.63,0.0,0.62
54.39,8.0,302.46,Malaysia,1683.59,Sheltered,0.0816,Population,306.08,0.09,-0.76,0.0,22.5
54.39,8.0,302.46,Malaysia,1683.59,Sheltered,0.0816,Population,306.08,0.09,-0.76,0.0,1.25
54.39,8.0,300.94,Malaysia,1683.59,Sheltered,0.0816,Population,306.08,2.08,0.14,0.0,31.25
54.39,8.0,300.94,Malaysia,1683.59,Sheltered,0.0816,Population,306.08,2.08,0.14,0.0,0.0
54.39,8.0,302.65,Malaysia,1683.59,Sheltered,0.0816,Population,306.08,0.02,-0.96,0.0,20.0
54.39,8.0,302.65,Malaysia,1683.59,Sheltered,0.0816,Population,306.08,0.02,-0.96,0.0,0.62
54.39,8.0,302.67,Malaysia,1683.59,Sheltered,0.0816,Population,306.08,-2.83,-4.0,0.0,23.12
54.39,8.0,302.67,Malaysia,1683.59,Sheltered,0.0816,Population,306.08,-2.83,-4.0,0.0,0.0
54.39,8.0,302.46,Malaysia,1683.59,Sheltered,0.0816,Population,306.08,0.27,-0.59,0.0,11.25
54.39,8.0,302.46,Malaysia,1683.59,Sheltered,0.0816,Population,306.08,0.27,-0.59,0.0,4.38
54.39,8.0,302.65,Malaysia,319.28,Sheltered,0.0935,Population,306.57,-1.3,-2.33,0.0,37.5
54.39,8.0,302.65,Malaysia,319.28,Sheltered,0.0935,Population,306.57,-1.3,-2.33,0.0,7.5
54.39,8.0,302.53,Malaysia,319.28,Sheltered,0.0935,Population,306.57,-0.05,-0.95,0.0,31.25
54.39,8.0,302.53,Malaysia,319.28,Sheltered,0.0935,Population,306.57,-0.05,-0.95,0.0,0.62
54.39,8.0,302.73,Malaysia,319.28,Sheltered,0.0935,Population,306.57,-0.24,-1.26,0.0,47.5
54.39,8.0,302.73,Malaysia,319.28,Sheltered,0.0935,Population,306.57,-0.24,-1.26,0.0,3.12
54.39,8.0,302.53,Malaysia,319.28,Sheltered,0.0935,Population,306.57,-1.53,-2.45,0.0,18.75
54.39,8.0,302.53,Malaysia,319.28,Sheltered,0.0935,Population,306.57,-1.53,-2.45,0.0,3.75
54.39,8.0,302.52,Malaysia,319.28,Sheltered,0.0935,Population,306.57,-2.22,-3.08,0.0,35.0
54.39,8.0,302.52,Malaysia,319.28,Sheltered,0.0935,Population,306.57,-2.22,-3.08,0.0,3.75
54.39,8.0,302.65,Malaysia,319.28,Sheltered,0.0935,Population,306.57,-1.79,-2.81,0.0,24.38
54.39,8.0,302.65,Malaysia,319.28,Sheltered,0.0935,Population,306.57,-1.79,-2.81,0.0,4.38
54.46,6.0,302.61,Malaysia,1907.62,Sheltered,0.072,Population,306.08,-0.62,-1.63,0.0,10.0
54.46,6.0,302.61,Malaysia,1907.62,Sheltered,0.072,Population,306.08,-0.62,-1.63,0.0,0.0
54.46,6.0,302.61,Malaysia,1907.62,Sheltered,0.072,Population,306.08,-1.06,-2.06,0.0,16.25
54.46,6.0,302.61,Malaysia,1907.62,Sheltered,0.072,Population,306.08,-1.06,-2.06,0.0,0.0
54.46,6.0,300.94,Malaysia,1907.62,Sheltered,0.072,Population,306.08,2.08,0.14,0.0,42.5
54.46,6.0,300.94,Malaysia,1907.62,Sheltered,0.072,Population,306.08,2.08,0.14,0.0,4.38
54.46,6.0,302.46,Malaysia,1907.62,Sheltered,0.072,Population,306.08,0.09,-0.76,0.0,36.25
54.46,6.0,302.46,Malaysia,1907.62,Sheltered,0.072,Population,306.08,0.09,-0.76,0.0,5.0
54.46,6.0,302.65,Malaysia,1907.62,Sheltered,0.072,Population,306.08,0.02,-0.96,0.0,16.25
54.46,6.0,302.65,Malaysia,1907.62,Sheltered,0.072,Population,306.08,0.02,-0.96,0.0,5.0
54.46,8.0,302.46,Malaysia,1907.62,Sheltered,0.072,Population,306.08,0.27,-0.59,0.0,15.62
54.46,8.0,302.46,Malaysia,1907.62,Sheltered,0.072,Population,306.08,0.27,-0.59,0.0,19.38
54.46,6.0,302.67,Malaysia,1907.62,Sheltered,0.072,Population,306.08,-2.83,-4.0,0.0,8.75
54.46,6.0,302.67,Malaysia,1907.62,Sheltered,0.072,Population,306.08,-2.83,-4.0,0.0,0.62
54.4,8.0,302.63,Malaysia,303.71,Sheltered,0.0896,Population,306.57,-0.75,-1.69,0.0,13.12
54.4,8.0,302.63,Malaysia,303.71,Sheltered,0.0896,Population,306.57,-0.75,-1.69,0.0,3.12
54.4,8.0,302.63,Malaysia,303.71,Sheltered,0.0896,Population,306.57,-0.43,-1.37,0.0,16.88
54.4,8.0,302.63,Malaysia,303.71,Sheltered,0.0896,Population,306.57,-0.43,-1.37,0.0,8.12
54.4,8.0,302.46,Malaysia,303.71,Sheltered,0.0896,Population,306.57,-0.03,-0.94,0.0,41.25
54.4,8.0,302.46,Malaysia,303.71,Sheltered,0.0896,Population,306.57,-0.03,-0.94,0.0,6.88
54.4,7.0,302.65,Malaysia,303.71,Sheltered,0.0896,Population,306.57,-0.14,-1.16,0.0,33.12
54.4,7.0,302.65,Malaysia,303.71,Sheltered,0.0896,Population,306.57,-0.14,-1.16,0.0,2.5
54.4,8.0,302.46,Malaysia,303.71,Sheltered,0.0896,Population,306.57,0.16,-0.75,0.0,17.5
54.4,8.0,302.46,Malaysia,303.71,Sheltered,0.0896,Population,306.57,0.16,-0.75,0.0,15.62
54.4,8.0,302.44,Malaysia,303.71,Sheltered,0.0896,Population,306.57,-2.54,-3.32,0.0,15.62
54.4,8.0,302.44,Malaysia,303.71,Sheltered,0.0896,Population,306.57,-2.54,-3.32,0.0,0.0
54.47,8.0,302.61,Malaysia,1149.07,Sheltered,0.097,Population,306.11,-0.41,-1.38,0.0,16.88
54.47,8.0,302.61,Malaysia,1149.07,Sheltered,0.097,Population,306.11,-0.41,-1.38,0.0,0.62
54.47,9.0,302.66,Malaysia,1149.07,Sheltered,0.097,Population,306.11,-0.29,-1.22,0.0,7.5
54.47,9.0,302.66,Malaysia,1149.07,Sheltered,0.097,Population,306.11,-0.29,-1.22,0.0,6.88
54.47,8.0,302.46,Malaysia,1149.07,Sheltered,0.097,Population,306.11,0.07,-0.73,0.0,26.25
54.47,8.0,302.46,Malaysia,1149.07,Sheltered,0.097,Population,306.11,0.07,-0.73,0.0,21.88
54.47,8.0,302.66,Malaysia,1149.07,Sheltered,0.097,Population,306.11,-0.4,-1.36,0.0,3.75
54.47,8.0,302.66,Malaysia,1149.07,Sheltered,0.097,Population,306.11,-0.4,-1.36,0.0,1.88
54.47,8.0,302.61,Malaysia,1149.07,Sheltered,0.097,Population,306.11,-0.75,-1.71,0.0,18.75
54.47,8.0,302.61,Malaysia,1149.07,Sheltered,0.097,Population,306.11,-0.75,-1.71,0.0,15.62
54.47,7.0,302.46,Malaysia,1149.07,Sheltered,0.097,Population,306.11,0.21,-0.59,0.0,3.75
54.47,7.0,302.46,Malaysia,1149.07,Sheltered,0.097,Population,306.11,0.21,-0.59,0.0,5.0
54.47,11.0,302.61,Malaysia,58.16,Sheltered,0.097,Population,306.11,-0.41,-1.38,0.0,39.38
54.47,11.0,302.61,Malaysia,58.16,Sheltered,0.097,Population,306.11,-0.41,-1.38,0.0,0.0
54.47,11.0,302.46,Malaysia,58.16,Sheltered,0.097,Population,306.11,0.07,-0.73,0.0,37.5
54.47,11.0,302.46,Malaysia,58.16,Sheltered,0.097,Population,306.11,0.07,-0.73,0.0,4.38
54.47,11.0,302.66,Malaysia,58.16,Sheltered,0.097,Population,306.11,-0.29,-1.22,0.0,42.5
54.47,11.0,302.66,Malaysia,58.16,Sheltered,0.097,Population,306.11,-0.29,-1.22,0.0,8.12
54.47,11.0,302.46,Malaysia,58.16,Sheltered,0.097,Population,306.11,0.21,-0.59,0.0,15.62
54.47,11.0,302.46,Malaysia,58.16,Sheltered,0.097,Population,306.11,0.21,-0.59,0.0,5.62
54.47,11.0,302.66,Malaysia,58.16,Sheltered,0.097,Population,306.11,-0.4,-1.36,0.0,30.62
54.47,11.0,302.66,Malaysia,58.16,Sheltered,0.097,Population,306.11,-0.4,-1.36,0.0,0.0
54.47,11.0,302.61,Malaysia,58.16,Sheltered,0.097,Population,306.11,-0.75,-1.71,0.0,39.38
54.47,11.0,302.61,Malaysia,58.16,Sheltered,0.097,Population,306.11,-0.75,-1.71,0.0,0.62
54.4,6.0,302.63,Malaysia,66.38,Sheltered,0.0779,Population,306.57,-0.75,-1.69,0.0,21.25
54.4,6.0,302.63,Malaysia,66.38,Sheltered,0.0779,Population,306.57,-0.75,-1.69,0.0,0.0
54.4,6.0,302.63,Malaysia,66.38,Sheltered,0.0779,Population,306.57,-0.43,-1.37,0.0,30.62
54.4,6.0,302.63,Malaysia,66.38,Sheltered,0.0779,Population,306.57,-0.43,-1.37,0.0,1.25
54.4,6.0,302.44,Malaysia,66.38,Sheltered,0.0779,Population,306.57,-2.54,-3.32,0.0,35.62
54.4,6.0,302.44,Malaysia,66.38,Sheltered,0.0779,Population,306.57,-2.54,-3.32,0.0,0.62
54.4,6.0,302.46,Malaysia,66.38,Sheltered,0.0779,Population,306.57,0.16,-0.75,0.0,33.12
54.4,6.0,302.46,Malaysia,66.38,Sheltered,0.0779,Population,306.57,0.16,-0.75,0.0,3.75
54.4,6.0,302.46,Malaysia,66.38,Sheltered,0.0779,Population,306.57,-0.03,-0.94,0.0,49.38
54.4,6.0,302.46,Malaysia,66.38,Sheltered,0.0779,Population,306.57,-0.03,-0.94,0.0,0.0
54.4,6.0,302.65,Malaysia,66.38,Sheltered,0.0779,Population,306.57,-0.14,-1.16,0.0,47.5
54.4,6.0,302.65,Malaysia,66.38,Sheltered,0.0779,Population,306.57,-0.14,-1.16,0.0,0.0
54.47,10.0,302.61,Malaysia,1737.9,Sheltered,0.097,Population,306.11,-0.41,-1.38,0.0,8.75
54.47,10.0,302.61,Malaysia,1737.9,Sheltered,0.097,Population,306.11,-0.41,-1.38,0.0,0.0
54.47,10.0,302.61,Malaysia,1737.9,Sheltered,0.097,Population,306.11,-0.75,-1.71,0.0,5.62
54.47,10.0,302.61,Malaysia,1737.9,Sheltered,0.097,Population,306.11,-0.75,-1.71,0.0,1.25
54.47,10.0,302.45,Malaysia,1737.9,Sheltered,0.097,Population,306.11,-1.47,-1.71,0.0,11.88
54.47,10.0,302.45,Malaysia,1737.9,Sheltered,0.097,Population,306.11,-1.47,-1.71,0.0,1.88
54.47,10.0,302.71,Malaysia,1737.9,Sheltered,0.097,Population,306.11,-0.15,-1.15,0.0,10.62
54.47,10.0,302.71,Malaysia,1737.9,Sheltered,0.097,Population,306.11,-0.15,-1.15,0.0,0.0
54.47,10.0,300.92,Malaysia,1737.9,Sheltered,0.097,Population,306.11,2.0,0.1,0.0,17.5
54.47,10.0,300.92,Malaysia,1737.9,Sheltered,0.097,Population,306.11,2.0,0.1,0.0,3.75
54.47,10.0,302.46,Malaysia,1737.9,Sheltered,0.097,Population,306.11,0.21,-0.59,0.0,13.12
54.47,10.0,302.46,Malaysia,1737.9,Sheltered,0.097,Population,306.11,0.21,-0.59,0.0,8.12
54.47,10.0,302.62,Malaysia,1824.38,Sheltered,0.097,Population,305.92,1.8,0.85,0.0,28.75
54.47,10.0,302.62,Malaysia,1824.38,Sheltered,0.097,Population,305.92,1.8,0.85,0.0,0.0
54.47,10.0,300.9,Malaysia,1824.38,Sheltered,0.097,Population,305.92,1.81,-0.02,0.0,28.75
54.47,10.0,300.9,Malaysia,1824.38,Sheltered,0.097,Population,305.92,1.81,-0.02,0.0,0.0
54.47,10.0,302.55,Malaysia,1824.38,Sheltered,0.097,Population,305.92,-1.6,-2.48,0.0,20.0
54.47,10.0,302.55,Malaysia,1824.38,Sheltered,0.097,Population,305.92,-1.6,-2.48,0.0,0.0
54.47,10.0,302.4,Malaysia,1824.38,Sheltered,0.097,Population,305.92,-1.03,-1.26,0.0,27.5
54.47,10.0,302.4,Malaysia,1824.38,Sheltered,0.097,Population,305.92,-1.03,-1.26,0.0,6.88
54.47,9.0,302.48,Malaysia,1824.38,Sheltered,0.097,Population,305.92,0.35,-0.49,0.0,24.38
54.47,9.0,302.48,Malaysia,1824.38,Sheltered,0.097,Population,305.92,0.35,-0.49,0.0,10.0
54.47,10.0,302.48,Malaysia,1824.38,Sheltered,0.097,Population,305.92,0.23,-0.59,0.0,51.25
54.47,10.0,302.48,Malaysia,1824.38,Sheltered,0.097,Population,305.92,0.23,-0.59,0.0,3.12
54.47,10.0,302.69,Malaysia,1824.38,Sheltered,0.097,Population,305.92,0.83,-0.2,0.0,41.25
54.47,10.0,302.69,Malaysia,1824.38,Sheltered,0.097,Population,305.92,0.83,-0.2,0.0,0.0
54.47,6.0,302.55,Malaysia,570.76,Sheltered,0.0725,Population,305.92,1.11,0.23,0.0,45.0
54.47,6.0,302.55,Malaysia,570.76,Sheltered,0.0725,Population,305.92,1.11,0.23,0.0,0.0
54.47,6.0,302.55,Malaysia,570.76,Sheltered,0.0725,Population,305.92,-1.6,-2.48,0.0,32.5
54.47,6.0,302.55,Malaysia,570.76,Sheltered,0.0725,Population,305.92,-1.6,-2.48,0.0,0.62
54.47,6.0,302.48,Malaysia,570.76,Sheltered,0.0725,Population,305.92,0.35,-0.49,0.0,16.25
54.47,6.0,302.48,Malaysia,570.76,Sheltered,0.0725,Population,305.92,0.35,-0.49,0.0,1.25
54.47,6.0,302.4,Malaysia,570.76,Sheltered,0.0725,Population,305.92,-1.03,-1.26,0.0,22.5
54.47,6.0,302.4,Malaysia,570.76,Sheltered,0.0725,Population,305.92,-1.03,-1.26,0.0,0.62
54.47,6.0,300.92,Malaysia,570.76,Sheltered,0.0725,Population,305.92,0.9,-0.73,0.0,31.88
54.47,6.0,300.92,Malaysia,570.76,Sheltered,0.0725,Population,305.92,0.9,-0.73,0.0,0.0
54.47,6.0,302.48,Malaysia,570.76,Sheltered,0.0725,Population,305.92,0.23,-0.59,0.0,45.62
54.47,6.0,302.48,Malaysia,570.76,Sheltered,0.0725,Population,305.92,0.23,-0.59,0.0,0.62
54.47,6.0,302.69,Malaysia,570.76,Sheltered,0.0725,Population,305.92,0.83,-0.2,0.0,31.88
54.47,6.0,302.69,Malaysia,570.76,Sheltered,0.0725,Population,305.92,0.83,-0.2,0.0,0.0
54.47,7.0,302.61,Malaysia,132.43,Sheltered,0.097,Population,306.11,-0.41,-1.38,0.0,28.75
54.47,7.0,302.61,Malaysia,132.43,Sheltered,0.097,Population,306.11,-0.41,-1.38,0.0,0.0
54.47,7.0,302.66,Malaysia,132.43,Sheltered,0.097,Population,306.11,-0.4,-1.36,0.0,28.75
54.47,7.0,302.66,Malaysia,132.43,Sheltered,0.097,Population,306.11,-0.4,-1.36,0.0,1.88
54.47,7.0,302.46,Malaysia,132.43,Sheltered,0.097,Population,306.11,0.21,-0.59,0.0,28.12
54.47,7.0,302.46,Malaysia,132.43,Sheltered,0.097,Population,306.11,0.21,-0.59,0.0,22.5
54.47,7.0,302.46,Malaysia,132.43,Sheltered,0.097,Population,306.11,0.07,-0.73,0.0,45.0
54.47,7.0,302.46,Malaysia,132.43,Sheltered,0.097,Population,306.11,0.07,-0.73,0.0,14.38
54.47,7.0,302.66,Malaysia,132.43,Sheltered,0.097,Population,306.11,-0.29,-1.22,0.0,38.75
54.47,7.0,302.66,Malaysia,132.43,Sheltered,0.097,Population,306.11,-0.29,-1.22,0.0,1.88
54.47,8.0,302.61,Malaysia,147.96,Sheltered,0.097,Population,306.11,-0.41,-1.38,0.0,39.38
54.47,8.0,302.61,Malaysia,147.96,Sheltered,0.097,Population,306.11,-0.41,-1.38,0.0,0.0
54.47,8.0,300.92,Malaysia,147.96,Sheltered,0.097,Population,306.11,0.93,-0.77,0.0,53.75
54.47,8.0,300.92,Malaysia,147.96,Sheltered,0.097,Population,306.11,0.93,-0.77,0.0,0.0
54.47,8.0,302.46,Malaysia,147.96,Sheltered,0.097,Population,306.11,0.07,-0.73,0.0,57.5
54.47,8.0,302.46,Malaysia,147.96,Sheltered,0.097,Population,306.11,0.07,-0.73,0.0,0.62
54.47,8.0,302.71,Malaysia,147.96,Sheltered,0.097,Population,306.11,-0.15,-1.15,0.0,53.75
54.47,8.0,302.71,Malaysia,147.96,Sheltered,0.097,Population,306.11,-0.15,-1.15,0.0,0.0
54.47,8.0,302.46,Malaysia,147.96,Sheltered,0.097,Population,306.11,0.21,-0.59,0.0,43.75
54.47,8.0,302.46,Malaysia,147.96,Sheltered,0.097,Population,306.11,0.21,-0.59,0.0,4.38
54.47,8.0,302.68,Malaysia,147.96,Sheltered,0.097,Population,306.11,-2.42,-3.53,0.0,24.38
54.47,8.0,302.68,Malaysia,147.96,Sheltered,0.097,Population,306.11,-2.42,-3.53,0.0,2.5
54.47,8.0,302.53,Malaysia,375.98,Sheltered,0.097,Population,306.11,-0.08,-0.99,0.0,29.38
54.47,8.0,302.53,Malaysia,375.98,Sheltered,0.097,Population,306.11,-0.08,-0.99,0.0,0.0
54.47,8.0,302.66,Malaysia,375.98,Sheltered,0.097,Population,306.11,-0.29,-1.22,0.0,32.5
54.47,8.0,302.66,Malaysia,375.98,Sheltered,0.097,Population,306.11,-0.29,-1.22,0.0,1.88
54.47,8.0,302.61,Malaysia,375.98,Sheltered,0.097,Population,306.11,-0.75,-1.71,0.0,31.25
54.47,8.0,302.61,Malaysia,375.98,Sheltered,0.097,Population,306.11,-0.75,-1.71,0.0,0.0
54.47,8.0,302.46,Malaysia,375.98,Sheltered,0.097,Population,306.11,0.21,-0.59,0.0,25.0
54.47,8.0,302.46,Malaysia,375.98,Sheltered,0.097,Population,306.11,0.21,-0.59,0.0,12.5
54.47,8.0,302.46,Malaysia,375.98,Sheltered,0.097,Population,306.11,0.07,-0.73,0.0,38.75
54.47,8.0,302.46,Malaysia,375.98,Sheltered,0.097,Population,306.11,0.07,-0.73,0.0,0.0
54.47,8.0,300.92,Malaysia,375.98,Sheltered,0.097,Population,306.11,2.0,0.1,0.0,61.25
54.47,8.0,300.92,Malaysia,375.98,Sheltered,0.097,Population,306.11,2.0,0.1,0.0,0.0
54.47,8.0,303.02,Malaysia,375.98,Sheltered,0.097,Population,306.11,-1.07,-1.12,0.0,63.12
54.47,8.0,303.02,Malaysia,375.98,Sheltered,0.097,Population,306.11,-1.07,-1.12,0.0,0.0
54.47,8.0,262.15,Malaysia,780.83,Sheltered,0.0795,Population,306.2,0.12,-0.77,0.0,3.12
54.47,8.0,262.15,Malaysia,780.83,Sheltered,0.0795,Population,306.2,0.12,-0.77,0.0,0.0
54.47,8.0,262.15,Malaysia,780.83,Sheltered,0.0795,Population,306.2,0.09,-0.75,0.0,38.75
54.47,8.0,262.15,Malaysia,780.83,Sheltered,0.0795,Population,306.2,0.09,-0.75,0.0,26.88
54.47,8.0,262.15,Malaysia,780.83,Sheltered,0.0795,Population,306.2,-1.01,-1.9,0.0,0.62
54.47,8.0,262.15,Malaysia,780.83,Sheltered,0.0795,Population,306.2,-1.01,-1.9,0.0,0.0
54.47,8.0,262.15,Malaysia,780.83,Sheltered,0.0795,Population,306.2,-0.83,-0.88,0.0,63.75
54.47,8.0,262.15,Malaysia,780.83,Sheltered,0.0795,Population,306.2,-0.83,-0.88,0.0,0.0
54.47,8.0,262.15,Malaysia,780.83,Sheltered,0.0795,Population,306.2,-1.05,-2.02,0.0,20.62
54.47,8.0,262.15,Malaysia,780.83,Sheltered,0.0795,Population,306.2,-1.05,-2.02,0.0,18.75
54.47,8.0,262.15,Malaysia,780.83,Sheltered,0.0795,Population,306.2,0.96,-0.73,0.0,38.12
54.47,8.0,262.15,Malaysia,780.83,Sheltered,0.0795,Population,306.2,0.96,-0.73,0.0,10.62
54.47,8.0,262.15,Malaysia,780.83,Sheltered,0.0795,Population,306.2,0.24,-0.61,0.0,9.38
54.47,8.0,262.15,Malaysia,780.83,Sheltered,0.0795,Population,306.2,0.24,-0.61,0.0,44.38
54.47,6.0,262.15,Malaysia,25.22,Sheltered,0.0795,Population,306.2,0.12,-0.77,0.0,26.25
54.47,6.0,262.15,Malaysia,25.22,Sheltered,0.0795,Population,306.2,0.12,-0.77,0.0,0.0
54.47,6.0,262.15,Malaysia,25.22,Sheltered,0.0795,Population,306.2,-1.05,-2.02,0.0,24.38
54.47,6.0,262.15,Malaysia,25.22,Sheltered,0.0795,Population,306.2,-1.05,-2.02,0.0,1.88
54.47,6.0,262.15,Malaysia,25.22,Sheltered,0.0795,Population,306.2,0.96,-0.73,0.0,48.12
54.47,6.0,262.15,Malaysia,25.22,Sheltered,0.0795,Population,306.2,0.96,-0.73,0.0,0.62
54.47,6.0,262.15,Malaysia,25.22,Sheltered,0.0795,Population,306.2,0.24,-0.61,0.0,19.38
54.47,6.0,262.15,Malaysia,25.22,Sheltered,0.0795,Population,306.2,0.24,-0.61,0.0,29.38
54.47,8.0,262.15,Malaysia,25.22,Sheltered,0.0795,Population,306.2,-0.83,-0.88,0.0,61.88
54.47,8.0,262.15,Malaysia,25.22,Sheltered,0.0795,Population,306.2,-0.83,-0.88,0.0,0.0
49.78,10.0,302.4,Malaysia,158.74,Exposed,0.0782,Population,306.34,1.19,0.09,0.0,61.25
49.78,10.0,302.4,Malaysia,158.74,Exposed,0.0782,Population,306.34,1.19,0.09,0.0,5.62
49.78,10.0,302.29,Malaysia,158.74,Exposed,0.0782,Population,306.34,0.41,-0.72,0.0,56.25
49.78,10.0,302.29,Malaysia,158.74,Exposed,0.0782,Population,306.34,0.41,-0.72,0.0,0.0
49.78,8.0,302.36,Malaysia,158.74,Exposed,0.0782,Population,306.34,-1.56,-2.75,0.0,58.75
49.78,8.0,302.36,Malaysia,158.74,Exposed,0.0782,Population,306.34,-1.56,-2.75,0.0,0.0
49.78,10.0,302.17,Malaysia,158.74,Exposed,0.0782,Population,306.34,-1.2,-1.8,0.0,64.38
49.78,10.0,302.17,Malaysia,158.74,Exposed,0.0782,Population,306.34,-1.2,-1.8,0.0,0.0
49.78,9.0,302.36,Malaysia,158.74,Exposed,0.0782,Population,306.34,1.27,0.07,0.0,68.12
49.78,9.0,302.36,Malaysia,158.74,Exposed,0.0782,Population,306.34,1.27,0.07,0.0,3.12
49.78,5.0,302.29,Malaysia,61.82,Sheltered,0.0782,Population,306.34,0.41,-0.72,0.0,65.0
49.78,5.0,302.29,Malaysia,61.82,Sheltered,0.0782,Population,306.34,0.41,-0.72,0.0,0.0
49.78,5.0,302.36,Malaysia,61.82,Sheltered,0.0782,Population,306.34,-1.56,-2.75,0.0,69.38
49.78,5.0,302.36,Malaysia,61.82,Sheltered,0.0782,Population,306.34,-1.56,-2.75,0.0,0.62
49.78,4.0,302.31,Malaysia,61.82,Sheltered,0.0782,Population,306.34,0.75,-0.42,0.0,44.38
49.78,4.0,302.31,Malaysia,61.82,Sheltered,0.0782,Population,306.34,0.75,-0.42,0.0,0.0
49.78,8.0,302.29,Malaysia,36.33,Exposed,0.0782,Population,306.34,0.41,-0.72,0.0,36.88
49.78,8.0,302.29,Malaysia,36.33,Exposed,0.0782,Population,306.34,0.41,-0.72,0.0,0.0
49.78,8.0,302.36,Malaysia,36.33,Exposed,0.0782,Population,306.34,-1.56,-2.75,0.0,33.12
49.78,8.0,302.36,Malaysia,36.33,Exposed,0.0782,Population,306.34,-1.56,-2.75,0.0,1.25
49.78,8.0,302.21,Malaysia,36.33,Exposed,0.0782,Population,306.34,-0.78,-1.23,0.0,32.5
49.78,8.0,302.21,Malaysia,36.33,Exposed,0.0782,Population,306.34,-0.78,-1.23,0.0,2.5
49.78,8.0,302.31,Malaysia,36.33,Exposed,0.0782,Population,306.34,0.75,-0.42,0.0,43.12
49.78,8.0,302.31,Malaysia,36.33,Exposed,0.0782,Population,306.34,0.75,-0.42,0.0,1.25
49.78,10.0,302.4,Malaysia,36.33,Exposed,0.0782,Population,306.34,1.19,0.09,0.0,35.0
49.78,10.0,302.4,Malaysia,36.33,Exposed,0.0782,Population,306.34,1.19,0.09,0.0,3.75
49.78,10.0,302.17,Malaysia,36.33,Exposed,0.0782,Population,306.34,0.63,0.06,0.0,29.38
49.78,10.0,302.17,Malaysia,36.33,Exposed,0.0782,Population,306.34,0.63,0.06,0.0,40.62
49.78,8.0,302.31,Malaysia,196.52,Exposed,0.0782,Population,306.34,0.75,-0.42,0.0,48.12
49.78,8.0,302.31,Malaysia,196.52,Exposed,0.0782,Population,306.34,0.75,-0.42,0.0,0.62
49.78,4.0,302.29,Malaysia,196.52,Exposed,0.0782,Population,306.34,0.41,-0.72,0.0,32.5
49.78,4.0,302.29,Malaysia,196.52,Exposed,0.0782,Population,306.34,0.41,-0.72,0.0,0.0
49.78,6.0,302.36,Malaysia,196.52,Exposed,0.0782,Population,306.34,-1.56,-2.75,0.0,39.38
49.78,6.0,302.36,Malaysia,196.52,Exposed,0.0782,Population,306.34,-1.56,-2.75,0.0,1.25
49.78,6.0,302.4,Malaysia,196.52,Exposed,0.0782,Population,306.34,1.19,0.09,0.0,51.88
49.78,6.0,302.4,Malaysia,196.52,Exposed,0.0782,Population,306.34,1.19,0.09,0.0,0.0
49.78,8.0,302.29,Malaysia,163.9,Exposed,0.0782,Population,306.34,0.41,-0.72,0.0,28.75
49.78,8.0,302.29,Malaysia,163.9,Exposed,0.0782,Population,306.34,0.41,-0.72,0.0,0.62
49.78,8.0,302.36,Malaysia,163.9,Exposed,0.0782,Population,306.34,-1.56,-2.75,0.0,46.25
49.78,8.0,302.36,Malaysia,163.9,Exposed,0.0782,Population,306.34,-1.56,-2.75,0.0,6.25
49.78,11.0,302.4,Malaysia,163.9,Exposed,0.0782,Population,306.34,1.19,0.09,0.0,66.25
49.78,11.0,302.4,Malaysia,163.9,Exposed,0.0782,Population,306.34,1.19,0.09,0.0,0.62
49.78,10.0,302.31,Malaysia,163.9,Exposed,0.0782,Population,306.34,0.75,-0.42,0.0,70.62
49.78,10.0,302.31,Malaysia,163.9,Exposed,0.0782,Population,306.34,0.75,-0.42,0.0,0.0
49.63,8.0,302.95,Malaysia,71.93,Sheltered,0.0646,Population,306.8,-0.57,-0.57,0.0,41.25
49.63,8.0,302.95,Malaysia,71.93,Sheltered,0.0646,Population,306.8,-0.57,-0.57,0.0,0.0
49.63,8.0,302.56,Malaysia,71.93,Sheltered,0.0646,Population,306.8,1.05,0.22,0.0,74.38
49.63,8.0,302.56,Malaysia,71.93,Sheltered,0.0646,Population,306.8,1.05,0.22,0.0,0.0
49.63,8.0,302.56,Malaysia,71.93,Sheltered,0.0646,Population,306.8,0.27,-0.59,0.0,60.62
49.63,8.0,302.56,Malaysia,71.93,Sheltered,0.0646,Population,306.8,0.27,-0.59,0.0,6.25
49.63,8.0,303.09,Malaysia,71.93,Sheltered,0.0646,Population,306.8,0.03,0.02,0.0,43.75
49.63,8.0,303.09,Malaysia,71.93,Sheltered,0.0646,Population,306.8,0.03,0.02,0.0,3.75
49.63,9.0,303.07,Malaysia,71.93,Sheltered,0.0646,Population,306.8,0.09,0.09,0.0,33.12
